price_total,price_unit,area,ratio,age,Floor,Height,room
432.816,21.3,20.32,66.5,26,6,12,2
450.281,24.7,18.23,57,2,3,29,2
530.464,24.2,21.92,54.99,2,9,29,2
998.542,23.9,41.78,49.55,2,27,29,2
801.72,18,44.54,46.87,2,23,29,2
570.962,23.8,23.99,57,3,23,29,2
500.752,26.3,19.04,54.68,2,23,29,2
542.655,27.9,19.45,53.52,2,22,29,2
696.78,21,33.18,54.68,2,25,29,2
519.555,28.5,18.23,57,3,25,29,2
437.625,22.5,19.45,53.52,2,2,29,2
801,18,44.5,46.87,2,5,29,2
449.295,23.1,19.45,53.52,2,8,29,2
509.59,26.2,19.45,53.52,2,6,29,2
515.909,28.3,18.23,57,2,11,29,2
508.368,26.7,19.04,54.68,3,11,29,2
490.14,25.2,19.45,53.52,3,17,29,2
613.938,22.1,27.78,43.57,2,13,29,2
519.555,28.5,18.23,57,3,13,29,2
499.865,25.7,19.45,53.52,3,13,29,2
540.736,28.4,19.04,54.68,2,12,29,2
464.855,23.9,19.45,53.52,3,14,29,2
439.824,23.1,19.04,54.68,2,10,29,2
439.343,24.1,18.23,57,2,10,29,2
450.275,21.7,20.75,84.35,40,6,12,3
1822.238,22.6,80.63,60.12,10,3,15,4
1108.042,24.7,44.86,62.48,10,6,15,3
2171.68,22.4,96.95,55.54,6,3,33,3
2082.443,25.3,82.31,57.91,6,23,33,3
800.079,21.7,36.87,60.74,17,5,14,3
484.432,22.1,21.92,59,17,2,14,2
348.27,19,18.33,62.61,21,2,14,2
367.629,17.7,20.77,62.61,21,6,14,2
430.731,18.9,22.79,62.22,21,6,14,2
351.588,16.6,21.18,60.81,21,14,14,2
338.675,15.5,21.85,62.22,21,10,14,2
1757.864,23.2,75.77,54.23,9,4,29,3
1875.742,24.2,77.51,53.52,8,19,29,3
541.73,21.8,24.85,62.2,17,9,14,2
532.578,22.2,23.99,62.41,17,9,14,2
569.065,22.9,24.85,62.2,18,8,14,2
533.882,21.8,24.49,62.66,18,7,14,2
520.776,21.6,24.11,64.28,18,11,14,2
500.526,20.7,24.18,60.8,17,13,14,2
880.152,16.8,52.39,54.95,31,7,12,2
237.491,16.3,14.57,80.07,39,10,11,2
1425.183,21.3,66.91,57.07,2,3,29,3
1871.634,28.2,66.37,57.09,2,27,29,3
1927.374,27.8,69.33,57.07,2,29,29,3
1913.508,27.6,69.33,57.07,2,28,29,3
1845.086,27.8,66.37,57.08,2,26,29,3
1825.175,27.5,66.37,57.08,2,24,29,3
1442.07,21.8,66.15,57.1,2,5,29,3
1712.346,25.8,66.37,57.08,2,19,29,3
1674.607,25.3,66.19,57.06,3,19,29,3
1354.814,20.2,67.07,57.11,2,4,29,3
1380.988,21.7,63.64,57.1,2,4,29,3
801.433,16.7,47.99,69.08,33,5,11,4
587.023,15.7,37.39,68.02,27,12,22,3
528.609,16.3,32.43,76,26,17,22,3
522.123,16.1,32.43,78.09,26,17,22,3
1556.604,11.6,134.19,54.03,27,21,22,5
598.24,16,37.39,68.02,26,16,22,3
544.824,16.8,32.43,78.09,26,7,22,2
470.235,14.5,32.43,78.09,26,8,22,3
424.409,17.9,23.71,68.44,27,12,22,2
945.555,16.9,55.95,63.58,27,13,22,3
963.9,18.9,51,69.56,26,14,22,4
552.42,16.5,33.48,63.65,26,3,22,3
418.5,12.5,33.48,63.65,26,3,22,2
438.635,18.5,23.71,68.44,27,7,22,2
883.6,18.8,47,58.45,11,4,15,3
600.789,14.7,40.87,69.47,27,2,12,3
667.587,19.3,34.59,78.31,39,11,12,3
1514.543,23.9,63.37,59.5,14,10,15,4
1749.564,27.6,63.39,61.04,13,4,15,4
799.155,17.7,45.15,59.04,18,5,14,3
998.602,20.9,47.78,60.5,19,5,14,3
998.2,21.7,46,60.51,18,6,14,3
801.83,18.1,44.3,60.15,18,12,14,3
1170.24,24,48.76,60.23,19,11,14,3
1159.808,27.2,42.64,65.89,17,9,14,3
1356.768,25.2,53.84,66.55,17,5,14,4
1136.024,21.1,53.84,66.55,17,5,14,4
966.42,25.2,38.35,63.03,17,14,14,3
1896.34,26.5,71.56,60.1,9,2,15,3
728.882,15.4,47.33,75.26,33,10,15,3
614.296,24.8,24.77,55.97,17,7,14,2
699.75,22.5,31.1,56.33,16,3,14,2
614.669,20.9,29.41,56.33,17,11,14,2
749.51,24.1,31.1,56.33,17,12,14,2
970.956,25.2,38.53,58,17,14,14,2
635.256,21.6,29.41,56.33,16,4,14,2
730.456,26.2,27.88,56.34,16,9,14,2
549.927,20.3,27.09,63.18,17,2,14,2
581.08,19.9,29.2,61.84,17,2,14,2
602.096,24.2,24.88,56.34,16,14,14,2
700.739,24.7,28.37,60.26,16,10,14,2
709.56,24.3,29.2,61.84,16,10,14,2
720.92,26.9,26.8,56.75,17,10,14,2
1652.004,21.8,75.78,67.33,20,26,27,5
1306.2,31.1,42,51.04,1,5,12,3
843.013,28.9,29.17,49.47,1,4,12,2
676.566,18.7,36.18,64.94,23,11,13,3
1272.52,14.5,87.76,86.13,37,3,12,5
900.575,22.1,40.75,44.08,14,2,15,3
920.724,22.6,40.74,58.74,14,5,15,3
689.83,20.2,34.15,46.22,13,13,15,3
866.078,22.9,37.82,67.53,14,13,15,3
753.372,20.4,36.93,57.58,14,12,15,2
838.575,22.5,37.27,58.74,14,4,15,3
650.582,22.7,28.66,57.79,14,2,15,2
523.482,25.8,20.29,62.64,13,8,15,2
620.361,22.9,27.09,61.04,13,6,15,2
719.295,23.7,30.35,59.65,13,6,15,2
660.788,23.3,28.36,57.8,13,6,15,3
736.736,25.3,29.12,58.53,14,6,15,3
687.232,23.6,29.12,58.53,13,6,15,3
525.822,25.7,20.46,62.83,14,11,15,2
414.884,21.2,19.57,62.99,13,11,15,2
804.713,25.9,31.07,53.7,14,15,15,2
749.568,24.4,30.72,59.78,14,14,15,2
549.792,20.7,26.56,57.8,13,4,15,3
661.352,22.9,28.88,58.41,4,9,15,2
638.827,26.3,24.29,60.58,4,8,15,2
1264.4,29,43.6,58.82,4,11,15,3
2063.997,11.7,176.41,62.33,29,9,18,9
1040.928,16.8,61.96,58.15,29,10,18,4
1592.39,19,83.81,61.15,29,11,18,5
874.394,22.6,38.69,69.22,34,11,12,3
710.985,16.5,43.09,70.64,33,4,12,3
2048.676,20.3,100.92,55.91,13,5,15,4
1995.28,19.6,101.8,55.91,12,8,15,4
2341.937,22.1,105.97,55.91,13,6,15,4
2154.39,21,102.59,55.45,13,14,15,4
2028.492,20.1,100.92,55.91,12,4,15,4
3419.92,31,110.32,58.65,3,29,29,4
3254.08,32,101.69,58.65,3,28,29,4
2230.823,37.1,60.13,56.89,3,26,29,4
1906.121,31.7,60.13,56.89,2,24,29,4
1972.894,32.2,61.27,49.19,3,20,29,3
1868.735,30.5,61.27,57.26,3,20,29,4
1613.968,29.8,54.16,52.74,2,25,29,2
1722.021,30.1,57.21,50.79,3,18,29,2
3569.536,35.3,101.12,55.08,3,28,29,3
1528.912,29.2,52.36,55.27,2,19,29,3
355.632,23.9,14.88,71.53,24,6,14,2
330.336,22.2,14.88,71.53,23,6,14,2
1323.18,18,73.51,75.53,29,12,12,4
2181.06,27,80.78,50.28,1,21,22,3
2188.35,27,81.05,50.08,1,22,22,3
2124.514,26.3,80.78,50.28,1,20,22,3
2011.528,24.8,81.11,50.28,1,6,22,3
2164.904,26.8,80.78,50.28,2,17,22,3
2115.88,26,81.38,50.08,2,13,22,3
2107.3,26,81.05,50.08,1,19,22,3
2100.749,25.9,81.11,50.28,1,15,22,3
2116.436,26.2,80.78,50.28,1,14,22,3
2184.084,24.3,89.88,52.13,1,7,22,3
2140.484,23.9,89.56,52.13,1,3,22,3
2157.12,24,89.88,52.13,1,2,22,3
1415.565,24.9,56.85,51.95,1,4,22,3
2282.952,25.4,89.88,52.13,1,13,22,3
2274.824,25.4,89.56,52.13,1,10,22,3
1495.192,24.8,60.29,50.52,2,3,22,3
1537.395,25.5,60.29,50.52,1,21,22,3
1585.627,26.3,60.29,50.52,1,22,22,3
1531.366,25.4,60.29,50.52,1,20,22,3
1495.192,24.8,60.29,50.52,1,4,22,3
1543.424,25.6,60.29,50.52,1,17,22,3
1537.395,25.5,60.29,50.52,1,19,22,3
1561.511,25.9,60.29,50.52,1,18,22,3
1507.25,25,60.29,50.52,1,14,22,3
1409.864,23.6,59.74,50.6,1,3,22,3
1529.344,25.6,59.74,50.6,1,20,22,3
1471.715,24.5,60.07,50.6,1,5,22,3
1501.75,25,60.07,50.6,1,17,22,3
1521.036,25.3,60.12,50.6,1,19,22,3
1780.794,24.6,72.39,51.64,1,8,22,3
1868.952,25.8,72.44,51.6,1,11,22,3
1861.708,25.7,72.44,51.6,1,12,22,3
1905.172,26.3,72.44,51.6,2,15,22,3
1843.347,24.9,74.03,50.8,1,3,22,3
1976.988,24.7,80.04,50.8,1,2,22,3
1960.98,24.5,80.04,50.8,1,5,22,3
2394.704,23.2,103.22,50.51,1,6,22,3
2185.092,27.3,80.04,96.62,1,17,22,3
2103.598,26.2,80.29,50.62,1,13,22,3
2232.062,27.8,80.29,50.62,2,19,22,3
2129.064,26.6,80.04,50.8,1,15,22,3
2153.076,26.9,80.04,50.8,1,14,22,3
1819.86,24.5,74.28,50.62,1,4,22,3
1668.282,23.1,72.22,50.99,1,3,22,3
1841.61,25.5,72.22,50.99,2,17,22,3
1861.451,25.7,72.43,50.82,1,19,22,3
1762.168,24.4,72.22,50.99,1,12,22,3
1827.166,25.3,72.22,50.99,1,18,22,3
1694.862,23.4,72.43,50.82,1,4,22,3
1497.984,24.9,60.16,57.37,16,10,14,4
1360.576,22.4,60.74,56.82,16,9,14,4
1276,23.2,55,56.33,16,12,14,3
1357.71,27.1,50.1,57.22,17,11,12,3
1202.42,23.6,50.95,56.67,16,6,11,3
1299.242,23.8,54.59,56.74,16,6,14,3
1297.338,23.8,54.51,57.29,16,10,14,3
1297.338,23.8,54.51,57.29,17,4,14,3
1118.796,22.8,49.07,59.38,16,3,14,3
1801.821,23.9,75.39,64.31,16,11,14,4
1115.724,21.8,51.18,59.37,15,4,14,3
1607.952,24.1,66.72,45.74,15,13,14,3
1897.035,24.5,77.43,66.82,15,6,14,4
1727.297,25.7,67.21,67.21,15,6,14,4
1935.648,28.8,67.21,67.21,15,11,14,4
580.294,14.3,40.58,69,36,4,12,3
3424.912,33.2,103.16,57.99,6,8,15,3
2578.332,37.2,69.31,58.1,11,22,23,4
1930.62,9.2,209.85,71.15,30,12,12,9
424.44,13.1,32.4,82.47,36,8,12,3
1131.666,28.2,40.13,55.48,3,3,15,2
600.336,26.4,22.74,53.76,3,9,15,2
538.938,23.7,22.74,53.76,3,5,15,2
579.422,28.1,20.62,60.09,3,11,15,2
849.256,33.2,25.58,60.1,3,14,15,2
2057.724,34.8,59.13,59.11,1,7,29,3
2078.271,35.1,59.21,59.09,1,9,29,3
2214.454,37.4,59.21,59.09,1,21,29,3
2143.402,36.2,59.21,59.09,1,23,29,3
2096.034,35.4,59.21,59.09,1,22,29,3
2285.506,38.6,59.21,59.09,1,25,29,3
2486.82,42,59.21,59.09,2,28,29,3
2540.109,42.9,59.21,59.09,1,26,29,3
2267.743,38.3,59.21,59.09,1,24,29,3
2034.072,34.4,59.13,59.11,1,5,29,3
2066.429,34.9,59.21,59.09,1,8,29,3
2057.724,34.8,59.13,59.11,1,6,29,3
2096.034,35.4,59.21,59.09,1,11,29,3
2155.244,36.4,59.21,59.09,1,17,29,3
2096.034,35.4,59.21,59.09,1,13,29,3
2421.689,40.9,59.21,59.09,1,19,29,3
2350.637,39.7,59.21,59.09,1,15,29,3
2125.639,35.9,59.21,59.09,1,14,29,3
2090.113,35.3,59.21,59.09,1,10,29,3
2134.593,36.1,59.13,59.11,1,4,29,3
2375.747,34.1,69.67,57.4,2,8,29,3
2588.467,37.1,69.77,57.52,1,21,29,3
2441.95,35,69.77,57.52,2,8,29,3
2340.912,33.6,69.67,57.4,1,6,29,3
2330.318,33.4,69.77,57.52,1,12,29,3
2799.79,37,75.67,57.42,1,3,29,3
3021.384,39.3,76.88,56.88,1,29,29,3
2387.746,34.6,69.01,56.88,1,10,29,3
1326.032,35.8,37.04,51.94,1,9,29,2
1437.152,38.8,37.04,51.94,1,25,29,2
1437.152,38.8,37.04,51.94,1,24,29,2
1351.96,36.5,37.04,51.94,1,12,29,2
1330.32,36.8,36.15,51.94,1,14,29,2
1279.71,35.4,36.15,51.94,1,10,29,2
1186.056,32.3,36.72,51.58,1,4,29,2
2954.171,27.1,109.01,59.53,11,25,24,4
2327.287,26.3,88.49,61.06,11,3,24,3
2318.438,26.2,88.49,61.06,10,5,24,3
577.437,21.7,26.61,68.97,32,10,12,3
1449.471,29.3,49.47,65.73,15,3,14,3
2606.219,18.7,139.37,66.55,15,2,14,7
